id,pair,bid,ask,spread_percentage,timestamp
9,USDT_BRL,5.614,5.615,0.017813,2025-06-06T17:40:06.073462Z
13,USDT_BRL,5.614,5.615,0.017813,2025-06-06T17:40:05.662984Z
25,USDT_BRL,5.609,5.61,0.017828,2025-06-06T17:35:06.059194Z
29,USDT_BRL,5.609,5.61,0.017828,2025-06-06T17:35:06.010306Z
41,USDT_BRL,5.611,5.612,0.017822,2025-06-06T17:30:05.267508Z
45,USDT_BRL,5.611,5.612,0.017822,2025-06-06T17:30:05.170957Z
57,USDT_BRL,5.611,5.612,0.017822,2025-06-06T17:25:05.688061Z
61,USDT_BRL,5.611,5.612,0.017822,2025-06-06T17:25:05.337838Z
73,USDT_BRL,5.605,5.606,0.017841,2025-06-06T17:20:06.092336Z
77,USDT_BRL,5.605,5.606,0.017841,2025-06-06T17:20:05.886046Z
89,USDT_BRL,5.604,5.605,0.017844,2025-06-06T17:15:05.890703Z
93,USDT_BRL,5.604,5.605,0.017844,2025-06-06T17:15:05.099736Z
105,USDT_BRL,5.61,5.611,0.017825,2025-06-06T17:10:05.772093Z
109,USDT_BRL,5.61,5.611,0.017825,2025-06-06T17:10:05.740184Z
121,USDT_BRL,5.615,5.616,0.017809,2025-06-06T17:05:05.985810Z
125,USDT_BRL,5.615,5.616,0.017809,2025-06-06T17:05:05.687950Z
137,USDT_BRL,5.614,5.615,0.017813,2025-06-06T17:00:06.452132Z
141,USDT_BRL,5.614,5.615,0.017813,2025-06-06T17:00:05.900500Z
153,USDT_BRL,5.612,5.613,0.017819,2025-06-06T16:55:06.482002Z
157,USDT_BRL,5.612,5.613,0.017819,2025-06-06T16:55:06.395951Z
169,USDT_BRL,5.605,5.606,0.017841,2025-06-06T16:50:06.870340Z
173,USDT_BRL,5.605,5.606,0.017841,2025-06-06T16:50:05.324785Z
185,USDT_BRL,5.611,5.612,0.017822,2025-06-06T16:45:06.155056Z
189,USDT_BRL,5.611,5.612,0.017822,2025-06-06T16:45:05.757010Z
