id,pair,bid,ask,spread_percentage,timestamp
54811,USDT_BRL,5.6863,5.6886,0.040448,2025-05-15T19:10:33.461640Z
54815,USDT_BRL,5.6863,5.6886,0.040448,2025-05-15T19:10:33.221140Z
54851,USDT_BRL,5.685192,5.6868,0.028284,2025-05-15T19:05:33.591434Z
54855,USDT_BRL,5.685192,5.6868,0.028284,2025-05-15T19:05:33.379872Z
54891,USDT_BRL,5.685193,5.6868,0.028266,2025-05-15T19:00:33.218355Z
54895,USDT_BRL,5.685193,5.6868,0.028266,2025-05-15T19:00:33.120330Z
54931,USDT_BRL,5.6848,5.686922,0.037328,2025-05-15T18:55:33.298032Z
54935,USDT_BRL,5.6848,5.686922,0.037328,2025-05-15T18:55:33.041406Z
54971,USDT_BRL,5.686,5.687,0.017587,2025-05-15T18:50:33.544852Z
54975,USDT_BRL,5.686,5.687,0.017587,2025-05-15T18:50:33.089338Z
55011,USDT_BRL,5.6856,5.687,0.024624,2025-05-15T18:45:32.904407Z
55015,USDT_BRL,5.68542,5.687,0.02779,2025-05-15T18:45:32.701127Z
55051,USDT_BRL,5.6957,5.698981,0.057605,2025-05-15T18:40:33.470430Z
55055,USDT_BRL,5.6957,5.69788,0.038274,2025-05-15T18:40:32.795520Z
55091,USDT_BRL,5.6962,5.6986,0.042133,2025-05-15T18:35:33.509040Z
55095,USDT_BRL,5.6962,5.6986,0.042133,2025-05-15T18:35:33.044085Z
55131,USDT_BRL,5.6956,5.69704,0.025283,2025-05-15T18:30:33.308970Z
55135,USDT_BRL,5.6956,5.69704,0.025283,2025-05-15T18:30:33.000440Z
55171,USDT_BRL,5.6877,5.6878,0.001758,2025-05-15T18:25:33.623820Z
55175,USDT_BRL,5.6877,5.6878,0.001758,2025-05-15T18:25:33.137062Z
55211,USDT_BRL,5.682,5.6824,0.00704,2025-05-15T18:20:33.687606Z
55215,USDT_BRL,5.682,5.6824,0.00704,2025-05-15T18:20:32.997127Z
55251,USDT_BRL,5.681,5.6824,0.024644,2025-05-15T18:15:33.475860Z
55255,USDT_BRL,5.681,5.6824,0.024644,2025-05-15T18:15:32.880002Z
55291,USDT_BRL,5.6761,5.677304,0.021212,2025-05-15T18:10:33.274132Z
55295,USDT_BRL,5.6761,5.677304,0.021212,2025-05-15T18:10:32.854496Z
55331,USDT_BRL,5.6771,5.6798,0.047559,2025-05-15T18:05:33.059738Z
55335,USDT_BRL,5.6771,5.6798,0.047559,2025-05-15T18:05:33.033046Z
55371,USDT_BRL,5.6837,5.6841,0.007038,2025-05-15T18:00:33.707900Z
55375,USDT_BRL,5.6837,5.6841,0.007038,2025-05-15T18:00:32.978732Z
55411,USDT_BRL,5.691,5.6938,0.0492,2025-05-15T17:55:33.391488Z
55415,USDT_BRL,5.691,5.6938,0.0492,2025-05-15T17:55:33.036304Z
55451,USDT_BRL,5.6806,5.6807,0.00176,2025-05-15T17:50:33.802841Z
55455,USDT_BRL,5.6806,5.6807,0.00176,2025-05-15T17:50:33.706013Z
55491,USDT_BRL,5.6717,5.6743,0.045842,2025-05-15T17:45:32.747738Z
55495,USDT_BRL,5.6717,5.6743,0.045842,2025-05-15T17:45:32.729728Z
55531,USDT_BRL,5.665,5.668,0.052957,2025-05-15T17:40:32.889592Z
55535,USDT_BRL,5.665,5.668,0.052957,2025-05-15T17:40:32.808744Z
55571,USDT_BRL,5.6642,5.6662,0.035309,2025-05-15T17:35:33.519440Z
55575,USDT_BRL,5.6642,5.6664,0.03884,2025-05-15T17:35:33.114032Z
55611,USDT_BRL,5.6652,5.66758,0.042011,2025-05-15T17:30:33.076590Z
55615,USDT_BRL,5.6652,5.66758,0.042011,2025-05-15T17:30:33.026057Z
55651,USDT_BRL,5.6571,5.6612,0.072475,2025-05-15T17:25:33.579045Z
55655,USDT_BRL,5.6571,5.6612,0.072475,2025-05-15T17:25:33.180472Z
55691,USDT_BRL,5.656121,5.6602,0.072117,2025-05-15T17:20:32.980988Z
55695,USDT_BRL,5.6562,5.6602,0.070719,2025-05-15T17:20:32.967455Z
55731,USDT_BRL,5.652,5.6541,0.037155,2025-05-15T17:15:33.001092Z
55735,USDT_BRL,5.652,5.6541,0.037155,2025-05-15T17:15:32.953962Z
55771,USDT_BRL,5.652,5.6542,0.038924,2025-05-15T17:10:33.626990Z
55775,USDT_BRL,5.652,5.6542,0.038924,2025-05-15T17:10:33.399904Z
55811,USDT_BRL,5.652,5.6529,0.015924,2025-05-15T17:05:33.627639Z
55815,USDT_BRL,5.652,5.6529,0.015924,2025-05-15T17:05:33.499922Z
55851,USDT_BRL,5.652,5.6521,0.001769,2025-05-15T17:00:33.844150Z
55855,USDT_BRL,5.652,5.6521,0.001769,2025-05-15T17:00:33.585765Z
55891,USDT_BRL,5.6477,5.6506,0.051348,2025-05-15T16:55:33.290005Z
55895,USDT_BRL,5.6477,5.6506,0.051348,2025-05-15T16:55:32.834796Z
55931,USDT_BRL,5.647621,5.6521,0.079308,2025-05-15T16:50:33.112125Z
55935,USDT_BRL,5.647621,5.6521,0.079308,2025-05-15T16:50:32.959622Z
55971,USDT_BRL,5.6512,5.6533,0.03716,2025-05-15T16:45:33.244675Z
55975,USDT_BRL,5.6512,5.6533,0.03716,2025-05-15T16:45:33.159623Z
56011,USDT_BRL,5.6513,5.655,0.065472,2025-05-15T16:40:33.546732Z
56015,USDT_BRL,5.6513,5.655,0.065472,2025-05-15T16:40:33.382415Z
56051,USDT_BRL,5.6513,5.6553,0.07078,2025-05-15T16:35:33.438261Z
56055,USDT_BRL,5.6513,5.6553,0.07078,2025-05-15T16:35:32.887527Z
56091,USDT_BRL,5.6528,5.6553,0.044226,2025-05-15T16:30:32.874027Z
56095,USDT_BRL,5.6528,5.6553,0.044226,2025-05-15T16:30:32.869120Z
56131,USDT_BRL,5.6523,5.6549,0.045999,2025-05-15T16:25:32.974551Z
56135,USDT_BRL,5.6523,5.6549,0.045999,2025-05-15T16:25:32.930370Z
56171,USDT_BRL,5.6512,5.6533,0.03716,2025-05-15T16:20:33.171027Z
56175,USDT_BRL,5.6512,5.6533,0.03716,2025-05-15T16:20:33.064010Z
56211,USDT_BRL,5.653419,5.6565,0.054498,2025-05-15T16:15:33.213559Z
56215,USDT_BRL,5.653419,5.6565,0.054498,2025-05-15T16:15:32.878123Z
56251,USDT_BRL,5.6516,5.6527,0.019464,2025-05-15T16:10:33.771392Z
56255,USDT_BRL,5.6516,5.6527,0.019464,2025-05-15T16:10:32.961251Z
56291,USDT_BRL,5.6504,5.6527,0.040705,2025-05-15T16:05:33.132134Z
56295,USDT_BRL,5.6504,5.6527,0.040705,2025-05-15T16:05:33.038899Z
56331,USDT_BRL,5.6529,5.655298,0.042421,2025-05-15T16:00:33.290584Z
56335,USDT_BRL,5.6529,5.655498,0.045959,2025-05-15T16:00:33.006041Z
56371,USDT_BRL,5.6578,5.6582,0.00707,2025-05-15T15:55:33.211653Z
56375,USDT_BRL,5.6578,5.6582,0.00707,2025-05-15T15:55:32.950093Z
56411,USDT_BRL,5.658421,5.66308,0.082337,2025-05-15T15:50:34.076155Z
56415,USDT_BRL,5.658421,5.6618,0.059716,2025-05-15T15:50:32.830021Z
56451,USDT_BRL,5.656,5.6578,0.031825,2025-05-15T15:45:33.313777Z
56455,USDT_BRL,5.656,5.6578,0.031825,2025-05-15T15:45:32.981456Z
56491,USDT_BRL,5.6594,5.6622,0.049475,2025-05-15T15:40:33.117804Z
56495,USDT_BRL,5.6594,5.6622,0.049475,2025-05-15T15:40:33.070998Z
56531,USDT_BRL,5.6595,5.6626,0.054775,2025-05-15T15:35:33.130766Z
56535,USDT_BRL,5.6595,5.6626,0.054775,2025-05-15T15:35:32.985958Z
56571,USDT_BRL,5.6597,5.6627,0.053006,2025-05-15T15:30:32.806156Z
56575,USDT_BRL,5.6597,5.6627,0.053006,2025-05-15T15:30:32.735160Z
56611,USDT_BRL,5.663,5.6631,0.001766,2025-05-15T15:25:32.873801Z
56615,USDT_BRL,5.663,5.6631,0.001766,2025-05-15T15:25:32.802072Z
56651,USDT_BRL,5.6578,5.6611,0.058327,2025-05-15T15:20:33.063412Z
56655,USDT_BRL,5.6578,5.6611,0.058327,2025-05-15T15:20:32.786437Z
