id,pair,bid,ask,spread_percentage,timestamp
54803,USD_BRL,5.6787,5.684,0.093331,2025-05-15T19:10:38.611726Z
54807,USD_BRL,5.6787,5.684,0.093331,2025-05-15T19:10:38.217438Z
54843,USD_BRL,5.6793,5.6833,0.070431,2025-05-15T19:05:38.670256Z
54847,USD_BRL,5.6793,5.6833,0.070431,2025-05-15T19:05:38.279067Z
54883,USD_BRL,5.679,5.6798,0.014087,2025-05-15T19:00:38.176755Z
54887,USD_BRL,5.679,5.6798,0.014087,2025-05-15T19:00:38.067155Z
54923,USD_BRL,5.6786,5.6825,0.068679,2025-05-15T18:55:38.515757Z
54927,USD_BRL,5.6786,5.6825,0.068679,2025-05-15T18:55:38.187898Z
54963,USD_BRL,5.6793,5.6832,0.06867,2025-05-15T18:50:38.525541Z
54967,USD_BRL,5.6793,5.6832,0.06867,2025-05-15T18:50:38.147928Z
55003,USD_BRL,5.6784,5.678749,0.006146,2025-05-15T18:45:37.773614Z
55007,USD_BRL,5.6784,5.678749,0.006146,2025-05-15T18:45:37.729301Z
55043,USD_BRL,5.6857,5.6899,0.07387,2025-05-15T18:40:38.652964Z
55047,USD_BRL,5.6853,5.6899,0.08091,2025-05-15T18:40:37.898337Z
55083,USD_BRL,5.6843,5.685,0.012315,2025-05-15T18:35:38.964705Z
55087,USD_BRL,5.6843,5.685,0.012315,2025-05-15T18:35:37.934497Z
55123,USD_BRL,5.6848,5.685,0.003518,2025-05-15T18:30:38.465405Z
55127,USD_BRL,5.6848,5.685,0.003518,2025-05-15T18:30:38.077402Z
55163,USD_BRL,5.6799,5.68,0.001761,2025-05-15T18:25:38.752362Z
55167,USD_BRL,5.6799,5.68,0.001761,2025-05-15T18:25:38.043139Z
55203,USD_BRL,5.674916,5.6788,0.068442,2025-05-15T18:20:38.576928Z
55207,USD_BRL,5.674916,5.6788,0.068442,2025-05-15T18:20:37.905939Z
55243,USD_BRL,5.6726,5.6781,0.096957,2025-05-15T18:15:38.633074Z
55247,USD_BRL,5.6726,5.6781,0.096957,2025-05-15T18:15:37.999916Z
55283,USD_BRL,5.669,5.6723,0.058211,2025-05-15T18:10:38.231747Z
55287,USD_BRL,5.669,5.6723,0.058211,2025-05-15T18:10:37.884156Z
55323,USD_BRL,5.6721,5.6735,0.024682,2025-05-15T18:05:38.116199Z
55327,USD_BRL,5.6721,5.6735,0.024682,2025-05-15T18:05:37.979494Z
55363,USD_BRL,5.676093,5.6773,0.021265,2025-05-15T18:00:38.634929Z
55367,USD_BRL,5.676093,5.6773,0.021265,2025-05-15T18:00:37.768823Z
55403,USD_BRL,5.6799,5.68,0.001761,2025-05-15T17:55:38.280406Z
55407,USD_BRL,5.6799,5.68,0.001761,2025-05-15T17:55:38.106503Z
55443,USD_BRL,5.6699,5.67,0.001764,2025-05-15T17:50:38.652269Z
55447,USD_BRL,5.6699,5.67,0.001764,2025-05-15T17:50:38.611502Z
55483,USD_BRL,5.6622,5.665,0.049451,2025-05-15T17:45:37.851998Z
55487,USD_BRL,5.6622,5.665,0.049451,2025-05-15T17:45:37.720239Z
55523,USD_BRL,5.6563,5.6599,0.063646,2025-05-15T17:40:37.896686Z
55527,USD_BRL,5.6563,5.6599,0.063646,2025-05-15T17:40:37.832295Z
55563,USD_BRL,5.6567,5.66,0.058338,2025-05-15T17:35:38.413332Z
55567,USD_BRL,5.6567,5.66,0.058338,2025-05-15T17:35:38.161539Z
55603,USD_BRL,5.6593,5.66,0.012369,2025-05-15T17:30:38.165558Z
55607,USD_BRL,5.6593,5.66,0.012369,2025-05-15T17:30:38.022853Z
55643,USD_BRL,5.6517,5.655,0.05839,2025-05-15T17:25:38.632782Z
55647,USD_BRL,5.6517,5.655,0.05839,2025-05-15T17:25:38.208711Z
